sample_id,signer_id,sign_id,policy,frame_count,valid_ratio,shoulder_ratio,left_ratio,right_ratio,both_ratio,selected_hand,track_ratio,max_missing_run,max_internal_gap,path_length,avg_speed,max_jump,amplitude_x,amplitude_y,start_x,start_y,end_x,end_y,mean_separation,separation_range
S001_CSL_bye_0001,S001,CSL_bye,dominant_either,32,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,0.6272519248290015,0.30419772798180883,0.09537458135795503,0.07653730916169632,0.13225988826484747,-0.6496698637987807,-1.0685468329137824,-0.6945030045308199,-1.0495553536856495,nan,nan
S001_CSL_bye_0002,S001,CSL_bye,dominant_either,30,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,0.8608811144422198,0.44581455323888225,0.10107995334465489,0.08171551544113276,0.236145361569581,-0.5824974488234433,-1.0884126314566753,-0.6060517962406927,-1.1194361495833705,nan,nan
S001_CSL_bye_0003,S001,CSL_bye,dominant_either,30,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,0.5678965482741235,0.29301140620233795,0.07038490291696838,0.05451408745019337,0.14570902395375163,-0.6675576574325641,-0.9864010490751195,-0.691248676901591,-1.0636988418682636,nan,nan
S001_CSL_bye_0004,S001,CSL_bye,dominant_either,31,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,0.7972747320134846,0.3893286578325267,0.10387289231476145,0.1686156682961394,0.1384113020472153,-0.6389056108204711,-0.9545084276495605,-0.7774672182262172,-1.022215413895822,nan,nan
S001_CSL_bye_0005,S001,CSL_bye,dominant_either,30,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,0.8066644462359853,0.4206727586542231,0.10698330268261287,0.08535527544902721,0.1864124557643343,-0.7914408271795528,-0.9388632877382057,-0.775119568899537,-0.848659653775287,nan,nan
S001_CSL_hello_0001,S001,CSL_hello,dominant_either,30,0.5851851851851851,1.0,0.03333333333333333,0.9,0.0,right,0.9,3,3,1.9035414699157411,1.1696577483036354,0.3383282223552694,0.15493138816775853,0.7269631482922951,-0.35573237938784963,0.12223598877225772,-0.5106637675556082,0.10219681885904179,nan,nan
S001_CSL_hello_0002,S001,CSL_hello,dominant_either,30,0.6111111111111112,1.0,0.03333333333333333,0.9666666666666667,0.0,right,0.9666666666666667,1,1,2.1550771583897284,1.1937671953553586,0.23834962448571284,0.16937495495696275,0.754707783258611,-0.41448630577529705,0.058740747122095704,-0.5402019711855943,-0.008434421842820547,nan,nan
S001_CSL_hello_0003,S001,CSL_hello,dominant_either,30,0.6111111111111112,1.0,0.03333333333333333,0.9666666666666667,0.0,right,0.9666666666666667,1,1,2.1481521088367175,1.1972188340674468,0.24108822386862816,0.0888218217286964,0.6413956426781015,-0.3776600093981392,0.03279401572231842,-0.37750563861021247,-0.20008155015275145,nan,nan
S001_CSL_hello_0004,S001,CSL_hello,dominant_either,31,0.5609318996415771,1.0,0.03225806451612903,0.8387096774193549,0.0,right,0.8387096774193549,5,5,1.29423259349321,0.8334006632540527,0.11462452045206305,0.18760292827621194,0.48610841602123445,-0.39673502066870775,0.18613618669075713,-0.5263155566858796,-0.056718528682588545,nan,nan
S001_CSL_hello_0005,S001,CSL_hello,dominant_either,30,0.5981481481481481,1.0,0.03333333333333333,0.9333333333333333,0.0,right,0.9333333333333333,1,1,1.6942466385382389,1.0370937748803266,0.15260698330290362,0.15126217309027062,0.570419519699132,-0.3534320642418656,0.16728732623826592,-0.4417612869024675,0.25310661652996796,nan,nan
S001_CSL_what_0001,S001,CSL_what,both_hands,31,0.8620071684587813,1.0,0.8387096774193549,0.8064516129032258,0.6774193548387096,both,0.6774193548387096,4,4,0.881878112577,0.8407333171228009,0.17043694260439315,0.07105351210691568,1.0324261538998671,-0.057971891306513146,0.2962050204439176,-0.07765930028586415,0.12791734764835638,1.1327550194074452,1.2037917850645057
S001_CSL_what_0002,S001,CSL_what,both_hands,31,0.899641577060932,1.0,0.8064516129032258,0.9354838709677419,0.7741935483870968,both,0.7741935483870968,5,5,1.1696306682970201,0.8315602753577123,0.2477267167703108,0.054439053242673396,0.8931810975195916,-0.01095422854388875,0.3615318480537447,-0.018748864288092276,0.42092647074773576,0.9509453568101861,0.5388140274015174
S001_CSL_what_0003,S001,CSL_what,both_hands,31,0.899641577060932,1.0,0.8387096774193549,0.9032258064516129,0.7419354838709677,both,0.7419354838709677,5,5,0.5148876071381872,0.4412376371656451,0.176307958905041,0.0916268673768029,0.330768246010677,-0.036597846957722335,0.4888320377035595,-0.01184288650944132,0.518574195284428,0.9664502694111115,0.41376197026094286
S001_CSL_what_0005,S001,CSL_what,both_hands,30,0.8962962962962963,1.0,0.7666666666666667,0.9666666666666667,0.7333333333333333,both,0.7333333333333333,6,6,0.48327582149781045,0.4212778880194033,0.11394623192525702,0.8781364014442296,0.8309212542051032,-0.061132768849537666,0.7580942734315755,-0.04141974670588991,0.48361696678019483,0.9762135000594988,1.155416767111035
S001_CSL_what_0004,S001,CSL_what,both_hands,30,0.8574074074074074,1.0,0.7333333333333333,0.9,0.7,both,0.7,5,5,0.5321936267365005,0.45237566807341756,0.09274962874094159,0.10911324822652718,0.6078137277930549,-0.038444258485134275,0.45921551076505895,-0.044396814406220286,0.3482773745526302,1.069973154602632,1.1775250566946198
S002_CSL_bye_0001,S002,CSL_bye,dominant_either,34,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,2.0994557473271556,1.0421719827926341,0.3368373416439796,0.21372946732456283,0.5540454566755553,-0.46092488995122094,-0.4184884804103562,-0.5175648696647882,-0.2879822913365416,nan,nan
S002_CSL_bye_0002,S002,CSL_bye,dominant_either,33,0.5993265993265994,1.0,0.030303030303030304,0.9393939393939394,0.0,right,0.9393939393939394,1,1,4.272073364796459,2.359184756089509,0.5409797966876316,0.20285300739622114,1.1493052126404146,-0.495615060851535,-0.7259859450353018,-0.6796573153717939,0.36903069262685834,nan,nan
S002_CSL_bye_0003,S002,CSL_bye,dominant_either,34,0.5996732026143791,1.0,0.029411764705882353,0.9411764705882353,0.0,right,0.9411764705882353,1,1,2.270550229239738,1.2624744145819686,0.3630594406088389,0.0851131979063402,1.1204858050929345,-0.5798036166292434,-0.8019130556478392,-0.5248328241065118,0.2293266173637697,nan,nan
S002_CSL_bye_0004,S002,CSL_bye,dominant_either,34,0.5996732026143791,1.0,0.029411764705882353,0.9411764705882353,0.0,right,0.9411764705882353,1,1,2.9156967652021097,1.5656731953057716,0.41210207314005826,0.12510500043128825,1.1872182522468773,-0.5189458577363169,-0.9128029881952471,-0.5958005594259801,0.12987351593426558,nan,nan
S002_CSL_bye_0005,S002,CSL_bye,dominant_either,34,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,3.7841948769647815,1.8494973947595643,0.4326817747702634,0.2950849224519225,1.1550851514866334,-0.5290607708246013,-0.9732750918958867,-0.553908475693764,-0.25732806085659443,nan,nan
S002_CSL_hello_0001,S002,CSL_hello,dominant_either,33,0.563973063973064,1.0,0.030303030303030304,0.8484848484848485,0.030303030303030304,right,0.8484848484848485,5,5,1.7896485839191658,1.0049617854184119,0.23483699778505854,0.17316681781641452,0.881026902133206,-0.4961349607967199,-0.19459273081029746,-0.6075815894670727,0.5832164934865096,nan,nan
S002_CSL_hello_0002,S002,CSL_hello,dominant_either,34,0.45098039215686275,1.0,0.058823529411764705,0.5294117647058824,0.058823529411764705,right,0.5294117647058824,12,1,1.9447813185559164,1.8251152194378792,0.23280576352701896,0.1016668059169118,0.8186003390367624,-0.4655119114301335,-0.33813750712331947,-0.41918278819369914,0.2108012645991523,nan,nan
S002_CSL_hello_0003,S002,CSL_hello,dominant_either,35,0.4777777777777778,1.0,0.0,0.6571428571428571,0.0,right,0.6571428571428571,10,1,1.9259718807265551,1.528062981838013,0.2827484883873633,0.10946070478624209,0.77082856260807,-0.4577769705219579,-0.14019991976894106,-0.465591513391884,0.06361724235815594,nan,nan
S002_CSL_hello_0004,S002,CSL_hello,dominant_either,34,0.553921568627451,1.0,0.029411764705882353,0.8235294117647058,0.0,right,0.8235294117647058,6,6,1.3311572794973652,0.8456412964262304,0.16093332915399394,0.1370433768399152,0.7185326899942839,-0.4788435929373988,-0.22468343272039987,-0.3879404591612665,-0.5209080370177102,nan,nan
S002_CSL_hello_0005,S002,CSL_hello,dominant_either,33,0.5757575757575758,1.0,0.0,0.9090909090909091,0.0,right,0.9090909090909091,3,3,2.366450898116885,1.3312409518606283,0.27685609144662204,0.11139346171812564,1.2008839224819918,-0.48180637669005577,-0.6073048791686472,-0.5066323793786889,0.16657961528807155,nan,nan
S002_CSL_what_0001,S002,CSL_what,both_hands,32,0.8298611111111112,1.0,0.71875,0.84375,0.6875,both,0.6875,4,4,0.4753913040407111,0.44654379814722645,0.0613873182818334,0.19897744568383455,1.0200672261522126,-0.04264549993172034,0.5383115089151679,-0.12722580775989933,0.9974886439337551,1.2543162538829356,1.1956632755450305
