sign_id,signer_id,samples,valid_ratio,shoulder_ratio,left_ratio,right_ratio,both_ratio,track_ratio,max_missing_run,max_internal_gap,path_length,avg_speed,max_jump,amplitude_x,amplitude_y,mean_separation,separation_range
CSL_bye,S001,20,0.611111111111111,1.0,0.02446236559139785,0.9755376344086022,0.0,0.9755376344086022,0.6,0.6,1.027557671607899,0.5458120594305569,0.1773952023711754,0.07467752128526688,0.29179251738663303,nan,nan
CSL_bye,S002,20,0.6093780946722123,1.0,0.012574607555632222,0.9829690644586281,0.0,0.9829690644586281,0.4,0.35,2.9770335210799286,1.544132456937896,0.3292845347281229,0.12188960767544446,0.6845069082638058,nan,nan
CSL_bye,S003,5,0.6111111111111112,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.2112672071435717,0.6082133056066314,0.1687546618825606,0.17933118049468968,0.25522285247056764,nan,nan
CSL_bye,S004,20,0.611111111111111,1.0,0.0016666666666666666,0.9983333333333334,0.0,0.9983333333333334,0.05,0.05,0.8422598177008226,0.43216386243972915,0.10341660136599902,0.12255376530910592,0.20022734175786533,nan,nan
CSL_bye,S005,20,0.6082516339869282,1.0,0.0,0.9926470588235293,0.0,0.9926470588235293,0.25,0.0,1.2314633797869206,0.6138122661106975,0.1951099138471206,0.09300289497405803,0.30697436296040864,nan,nan
CSL_hello,S001,20,0.6066745586660074,1.0,0.031082336855765662,0.9575093854282535,0.006505376344086021,0.9575093854282535,1.1,1.1,2.1406744578439616,1.1703851608998577,0.20999121098369797,0.1803322244321302,0.6617327959318139,nan,nan
CSL_hello,S002,20,0.5652604068559706,1.0,0.045020353373425415,0.8370778356847846,0.009295037663159105,0.8370778356847846,3.65,2.55,1.5455669597375663,0.9959254997218476,0.24640125188915846,0.1575603908338172,1.053975642169924,nan,nan
CSL_hello,S003,5,0.5538375973303671,1.0,0.05428253615127919,0.7984427141268076,0.006896551724137931,0.7984427141268076,3.6,3.6,1.4849719252511708,1.0529069084895337,0.27322742840461367,0.3217619416787769,1.7466044970239942,nan,nan
CSL_hello,S004,20,0.5850140008960574,1.0,0.10272177419354837,0.8301713709677421,0.0,0.8301713709677421,3.9,3.9,0.9665906031712979,0.649642341287705,0.15797684203189924,0.15078703093541793,0.6189793842043854,nan,nan
CSL_hello,S005,20,0.6754066811909949,1.0,0.2764613880742913,0.88887007784541,0.2624242424242424,0.8934155323908646,3.45,0.3,1.7735701392528207,1.0316507718912769,0.22018212809595822,0.2574801627813277,0.7921426846104677,nan,nan
CSL_what,S001,20,0.8723112099864047,1.0,0.8262569521690768,0.8454004449388209,0.7130163144234334,0.7130163144234334,5.5,5.25,0.6311048489939771,0.5228531459029597,0.1337928621699672,0.36860716400860205,0.6106250272923862,1.3267353007455438,0.9458097812515414
CSL_what,S002,20,0.8584123959509317,1.0,0.8029225371118323,0.8329950524762776,0.7571498409717141,0.7571498409717141,6.3,6.3,1.0485329647884798,0.7599360841160876,0.18708479709208206,0.15131286350905954,1.0154618005523628,1.4424690097059076,1.3933918618841568
CSL_what,S003,5,0.9307189542483659,1.0,0.9250420168067226,0.8968067226890757,0.8218487394957983,0.8218487394957983,3.8,3.8,1.1384269330776038,0.7749816252610089,0.19850121017568,0.06048339185855119,0.9574668480801138,1.4859697219153962,1.1666908296786331
CSL_what,S004,20,0.9066666666666666,1.0,0.8983870967741936,0.8616129032258064,0.7796774193548386,0.7796774193548386,4.1,3.05,0.5553032747652449,0.40397205871740854,0.08512799743312693,0.09033580316025522,0.4871502085642859,1.2496823853289645,0.8265141208762058
CSL_what,S005,20,0.7939290659559476,1.0,0.761885416256384,0.7082178962017671,0.6109313547861934,0.6109313547861934,8.35,1.7,0.48779174844780504,0.47577777405874844,0.12479060451723434,0.0781708694611497,0.3700957302531561,1.3376715986955492,0.43273212425625146
